ds,y
2016-02-18,244973.0
2016-02-19,242198.0
2016-02-20,232036.0
2016-02-21,226887.0
2016-02-22,237303.0
2016-02-23,241548.0
2016-02-24,247731.0
2016-02-25,243973.0
2016-02-26,243927.0
2016-02-27,233936.0
2016-02-28,227522.0
2016-02-29,236922.0
2016-03-01,242866.0
2016-03-02,244460.0
2016-03-03,246483.0
2016-03-04,243824.0
2016-03-05,235404.0
2016-03-06,227657.0
2016-03-07,233978.0
2016-03-08,235995.0
2016-03-09,235393.0
2016-03-10,237202.0
2016-03-11,240480.0
2016-03-12,228058.0
2016-03-13,222454.0
2016-03-14,231087.0
2016-03-15,239291.0
2016-03-16,241165.0
2016-03-17,243387.0
2016-03-18,243486.0
2016-03-19,238110.0
2016-03-20,238565.0
2016-03-21,250488.0
2016-03-22,253470.0
2016-03-23,240992.0
2016-03-24,240868.0
2016-03-25,239343.0
2016-03-26,235793.0
2016-03-27,232401.0
2016-03-28,241855.0
2016-03-29,243844.0
2016-03-30,238987.0
2016-03-31,243835.0
2016-04-01,239323.0
2016-04-02,233829.0
2016-04-03,233016.0
2016-04-04,250710.0
2016-04-05,257807.0
2016-04-06,260889.0
2016-04-07,267134.0
2016-04-08,257442.0
2016-04-09,242274.0
2016-04-10,234032.0
2016-04-11,234582.0
2016-04-12,244545.0
2016-04-13,246063.0
2016-04-14,257215.0
2016-04-15,256889.0
2016-04-16,235025.0
2016-04-17,232854.0
2016-04-18,246251.0
2016-04-19,252439.0
2016-04-20,260818.0
2016-04-21,271648.0
2016-04-22,279362.0
2016-04-23,269757.0
2016-04-24,248248.0
2016-04-25,256524.0
2016-04-26,244727.0
2016-04-27,246556.0
2016-04-28,249723.0
2016-04-29,245594.0
2016-04-30,240610.0
2016-05-01,229748.0
2016-05-02,248402.0
2016-05-03,265104.0
2016-05-04,283663.0
2016-05-05,294805.0
2016-05-06,274849.0
2016-05-07,243837.0
2016-05-08,218000.0
2016-05-09,214648.0
2016-05-10,230918.0
2016-05-11,241642.0
2016-05-12,257048.0
2016-05-13,271724.0
2016-05-14,271915.0
2016-05-15,254363.0
2016-05-16,252207.0
2016-05-17,250521.0
2016-05-18,261846.0
2016-05-19,278650.0
2016-05-20,299189.0
2016-05-21,285167.0
2016-05-22,267358.0
2016-05-23,275554.0
2016-05-24,282016.0
2016-05-25,278074.0
2016-05-26,274891.0
2016-05-27,275919.0
2016-05-28,279746.0
2016-05-29,284060.0
2016-05-30,284422.0
2016-05-31,294906.0
2016-06-01,313357.0
2016-06-02,328971.0
2016-06-03,354323.0
2016-06-04,364792.0
2016-06-05,365539.0
2016-06-06,376159.0
2016-06-07,369562.0
2016-06-08,371028.0
2016-06-09,379696.0
2016-06-10,370249.0
2016-06-11,341733.0
2016-06-12,327132.0
2016-06-13,335432.0
2016-06-14,327609.0
2016-06-15,328235.0
2016-06-16,337585.0
2016-06-17,344919.0
2016-06-18,351059.0
2016-06-19,383681.0
2016-06-20,430249.0
2016-06-21,429946.0
2016-06-22,417505.0
2016-06-23,418107.0
2016-06-24,399425.0
2016-06-25,355216.0
2016-06-26,326886.0
2016-06-27,338736.0
2016-06-28,395115.0
2016-06-29,415601.0
2016-06-30,373101.0
2016-07-01,344457.0
2016-07-02,337220.0
2016-07-03,356655.0
2016-07-04,374066.0
2016-07-05,381642.0
2016-07-06,393422.0
2016-07-07,394847.0
2016-07-08,393595.0
2016-07-09,392281.0
2016-07-10,390074.0
2016-07-11,392470.0
2016-07-12,384728.0
2016-07-13,394466.0
2016-07-14,410892.0
2016-07-15,415158.0
2016-07-16,409258.0
2016-07-17,394709.0
2016-07-18,392560.0
2016-07-19,399038.0
2016-07-20,403645.0
2016-07-21,414875.0
2016-07-22,435954.0
2016-07-23,422984.0
2016-07-24,415717.0
2016-07-25,416455.0
2016-07-26,419279.0
2016-07-27,434453.0
2016-07-28,430862.0
2016-07-29,437537.0
2016-07-30,380967.0
2016-07-31,371751.0
2016-08-01,370345.0
2016-08-02,379019.0
2016-08-03,357835.0
2016-08-04,365408.0
2016-08-05,366756.0
2016-08-06,361871.0
2016-08-07,379918.0
2016-08-08,395668.0
2016-08-09,387992.0
2016-08-10,368156.0
2016-08-11,368180.0
2016-08-12,380648.0
2016-08-13,375170.0
2016-08-14,363596.0
2016-08-15,385332.0
2016-08-16,399289.0
2016-08-17,396714.0
2016-08-18,384889.0
2016-08-19,371296.0
2016-08-20,353182.0
2016-08-21,327876.0
2016-08-22,338544.0
2016-08-23,334655.0
2016-08-24,341173.0
2016-08-25,344342.0
2016-08-26,352156.0
2016-08-27,332295.0
2016-08-28,312426.0
2016-08-29,340386.0
2016-08-30,362869.0
2016-08-31,369344.0
2016-09-01,379010.0
2016-09-02,375158.0
2016-09-03,360326.0
2016-09-04,327057.0
2016-09-05,321413.0
2016-09-06,339892.0
2016-09-07,337447.0
2016-09-08,318414.0
2016-09-09,341297.0
2016-09-10,339459.0
2016-09-11,334551.0
2016-09-12,342847.0
2016-09-13,329830.0
2016-09-14,322491.0
2016-09-15,313294.0
2016-09-16,302892.0
2016-09-17,296441.0
2016-09-18,301884.0
2016-09-19,320267.0
2016-09-20,326588.0
2016-09-21,325537.0
2016-09-22,334004.0
2016-09-23,295311.0
2016-09-24,260725.0
2016-09-25,267615.0
2016-09-26,291945.0
2016-09-27,276892.0
2016-09-28,293631.0
2016-09-29,310649.0
2016-09-30,310132.0
2016-10-01,298575.0
2016-10-02,280836.0
2016-10-03,274117.0
2016-10-04,259166.0
2016-10-05,260502.0
2016-10-06,269413.0
2016-10-07,270937.0
2016-10-08,283513.0
2016-10-09,281706.0
2016-10-10,293805.0
2016-10-11,293985.0
2016-10-12,283476.0
2016-10-13,273795.0
2016-10-14,274804.0
2016-10-15,271292.0
2016-10-16,265260.0
2016-10-17,275068.0
2016-10-18,279412.0
2016-10-19,274684.0
2016-10-20,277949.0
2016-10-21,284298.0
2016-10-22,280003.0
2016-10-23,275455.0
2016-10-24,282278.0
2016-10-25,287496.0
2016-10-26,285658.0
2016-10-27,292614.0
2016-10-28,295575.0
2016-10-29,279325.0
2016-10-30,271963.0
2016-10-31,274659.0
2016-11-01,260892.0
2016-11-02,253871.0
2016-11-03,257434.0
2016-11-04,247285.0
2016-11-05,243245.0
2016-11-06,238473.0
2016-11-07,257461.0
2016-11-08,255883.0
2016-11-09,256504.0
2016-11-10,247173.0
2016-11-11,244986.0
2016-11-12,238778.0
2016-11-13,233272.0
2016-11-14,247711.0
2016-11-15,246332.0
2016-11-16,244380.0
2016-11-17,240392.0
2016-11-18,240286.0
2016-11-19,233778.0
2016-11-20,232422.0
2016-11-21,241479.0
2016-11-22,241395.0
2016-11-23,241780.0
2016-11-24,236140.0
2016-11-25,223743.0
2016-11-26,232647.0
2016-11-27,230454.0
2016-11-28,250754.0
2016-11-29,258751.0
2016-11-30,265600.0
2016-12-01,268067.0
2016-12-02,264069.0
2016-12-03,256058.0
2016-12-04,246506.0
2016-12-05,261679.0
2016-12-06,260842.0
2016-12-07,257690.0
2016-12-08,262031.0
2016-12-09,261424.0
2016-12-10,249773.0
2016-12-11,239650.0
2016-12-12,248862.0
2016-12-13,251216.0
2016-12-14,248006.0
2016-12-15,248644.0
2016-12-16,248066.0
2016-12-17,240188.0
2016-12-18,254127.0
2016-12-19,267003.0
2016-12-20,262478.0
2016-12-21,254649.0
2016-12-22,254903.0
2016-12-23,249153.0
2016-12-24,250066.0
2016-12-25,251191.0
2016-12-26,257293.0
2016-12-27,262559.0
2016-12-28,257368.0
2016-12-29,255046.0
2016-12-30,249353.0
2016-12-31,242170.0
2017-01-01,240487.0
2017-01-02,253342.0
2017-01-03,265801.0
2017-01-04,259097.0
2017-01-05,257458.0
2017-01-06,254285.0
2017-01-07,262185.0
2017-01-08,248230.0
2017-01-09,253216.0
2017-01-10,255708.0
2017-01-11,252233.0
2017-01-12,256522.0
2017-01-13,255134.0
2017-01-14,244824.0
2017-01-15,245998.0
2017-01-16,253246.0
2017-01-17,262286.0
2017-01-18,259947.0
2017-01-19,265015.0
2017-01-20,271919.0
2017-01-21,263523.0
2017-01-22,257932.0
2017-01-23,258566.0
2017-01-24,265681.0
2017-01-25,278879.0
2017-01-26,282708.0
2017-01-27,278575.0
2017-01-28,270752.0
2017-01-29,251618.0
2017-01-30,247602.0
2017-01-31,249220.0
2017-02-01,248350.0
2017-02-02,246070.0
2017-02-03,244568.0
2017-02-04,235504.0
2017-02-05,228828.0
2017-02-06,234995.0
2017-02-07,240959.0
2017-02-08,234887.0
2017-02-09,234105.0
2017-02-10,236154.0
2017-02-11,229986.0
2017-02-12,225225.0
2017-02-13,239882.0
2017-02-14,242701.0
2017-02-15,239268.0
2017-02-16,240740.0
2017-02-17,238694.0
2017-02-18,232289.0
2017-02-19,235900.0
2017-02-20,236023.0
2017-02-21,238546.0
2017-02-22,237164.0
2017-02-23,237039.0
2017-02-24,249393.0
2017-02-25,246701.0
2017-02-26,232487.0
2017-02-27,247249.0
2017-02-28,249709.0
2017-03-01,247711.0
2017-03-02,247570.0
2017-03-03,243222.0
2017-03-04,231427.0
2017-03-05,227518.0
2017-03-06,236573.0
2017-03-07,243870.0
2017-03-08,240222.0
2017-03-09,240376.0
2017-03-10,241912.0
2017-03-11,236329.0
2017-03-12,232966.0
2017-03-13,245161.0
