ds,y
2016-02-18,672821.0
2016-02-19,641813.0
2016-02-20,604642.0
2016-02-21,595400.0
2016-02-22,652125.0
2016-02-23,692817.0
2016-02-24,728661.0
2016-02-25,722842.0
2016-02-26,726207.0
2016-02-27,652253.0
2016-02-28,616599.0
2016-02-29,657057.0
2016-03-01,663269.0
2016-03-02,706667.0
2016-03-03,670313.0
2016-03-04,678749.0
2016-03-05,618842.0
2016-03-06,615108.0
2016-03-07,637906.0
2016-03-08,637545.0
2016-03-09,634242.0
2016-03-10,636881.0
2016-03-11,636237.0
2016-03-12,595897.0
2016-03-13,566508.0
2016-03-14,610762.0
2016-03-15,641482.0
2016-03-16,634203.0
2016-03-17,638543.0
2016-03-18,659331.0
2016-03-19,650486.0
2016-03-20,640213.0
2016-03-21,690027.0
2016-03-22,668189.0
2016-03-23,655599.0
2016-03-24,659850.0
2016-03-25,652266.0
2016-03-26,610310.0
2016-03-27,597096.0
2016-03-28,645403.0
2016-03-29,642787.0
2016-03-30,640353.0
2016-03-31,647336.0
2016-04-01,649897.0
2016-04-02,619485.0
2016-04-03,591709.0
2016-04-04,618841.0
2016-04-05,648434.0
2016-04-06,648332.0
2016-04-07,638622.0
2016-04-08,625747.0
2016-04-09,608333.0
2016-04-10,587270.0
2016-04-11,625919.0
2016-04-12,628559.0
2016-04-13,615191.0
2016-04-14,619664.0
2016-04-15,621720.0
2016-04-16,586935.0
2016-04-17,566297.0
2016-04-18,619052.0
2016-04-19,624239.0
2016-04-20,623831.0
2016-04-21,624346.0
2016-04-22,617584.0
2016-04-23,611451.0
2016-04-24,609779.0
2016-04-25,643809.0
2016-04-26,676690.0
2016-04-27,651319.0
2016-04-28,632904.0
2016-04-29,637833.0
2016-04-30,601449.0
2016-05-01,586077.0
2016-05-02,606202.0
2016-05-03,611962.0
2016-05-04,613142.0
2016-05-05,626611.0
2016-05-06,644102.0
2016-05-07,634521.0
2016-05-08,603431.0
2016-05-09,641391.0
2016-05-10,673913.0
2016-05-11,731974.0
2016-05-12,689714.0
2016-05-13,675978.0
2016-05-14,603712.0
2016-05-15,564690.0
2016-05-16,614592.0
2016-05-17,641340.0
2016-05-18,623525.0
2016-05-19,618981.0
2016-05-20,618770.0
2016-05-21,617231.0
2016-05-22,632372.0
2016-05-23,673715.0
2016-05-24,703885.0
2016-05-25,734699.0
2016-05-26,754756.0
2016-05-27,688091.0
2016-05-28,638349.0
2016-05-29,652271.0
2016-05-30,653175.0
2016-05-31,690152.0
2016-06-01,695556.0
2016-06-02,692272.0
2016-06-03,700511.0
2016-06-04,683041.0
2016-06-05,657491.0
2016-06-06,721042.0
2016-06-07,745394.0
2016-06-08,780273.0
2016-06-09,831715.0
2016-06-10,847909.0
2016-06-11,834185.0
2016-06-12,799390.0
2016-06-13,804217.0
2016-06-14,830662.0
2016-06-15,895160.0
2016-06-16,920845.0
2016-06-17,955810.0
2016-06-18,878692.0
2016-06-19,817006.0
2016-06-20,897015.0
2016-06-21,913807.0
2016-06-22,961232.0
2016-06-23,954508.0
2016-06-24,904077.0
2016-06-25,896431.0
2016-06-26,867774.0
2016-06-27,870623.0
2016-06-28,890453.0
2016-06-29,865434.0
2016-06-30,879844.0
2016-07-01,838077.0
2016-07-02,778137.0
2016-07-03,742523.0
2016-07-04,744598.0
2016-07-05,878777.0
2016-07-06,943800.0
2016-07-07,936272.0
2016-07-08,903960.0
2016-07-09,856494.0
2016-07-10,868023.0
2016-07-11,938399.0
2016-07-12,934828.0
2016-07-13,942018.0
2016-07-14,917578.0
2016-07-15,835147.0
2016-07-16,824000.0
2016-07-17,880055.0
2016-07-18,944068.0
2016-07-19,972020.0
2016-07-20,1002162.0
2016-07-21,1033212.0
2016-07-22,1036822.0
2016-07-23,992828.0
2016-07-24,955120.0
2016-07-25,949814.0
2016-07-26,931276.0
2016-07-27,929221.0
2016-07-28,918325.0
2016-07-29,866968.0
2016-07-30,816192.0
2016-07-31,827157.0
2016-08-01,916629.0
2016-08-02,960931.0
2016-08-03,977599.0
2016-08-04,1010715.0
2016-08-05,954086.0
2016-08-06,855743.0
2016-08-07,813531.0
2016-08-08,859682.0
2016-08-09,925188.0
2016-08-10,980421.0
2016-08-11,1014405.0
2016-08-12,953414.0
2016-08-13,840170.0
2016-08-14,784601.0
2016-08-15,811702.0
2016-08-16,851224.0
2016-08-17,883842.0
2016-08-18,905934.0
2016-08-19,886241.0
2016-08-20,761325.0
2016-08-21,706596.0
2016-08-22,790554.0
2016-08-23,859430.0
2016-08-24,889440.0
2016-08-25,859507.0
2016-08-26,816966.0
2016-08-27,785586.0
2016-08-28,810971.0
2016-08-29,850608.0
2016-08-30,856667.0
2016-08-31,832652.0
2016-09-01,789417.0
2016-09-02,748931.0
2016-09-03,694313.0
2016-09-04,699408.0
2016-09-05,767655.0
2016-09-06,865859.0
2016-09-07,872734.0
2016-09-08,860686.0
2016-09-09,832266.0
2016-09-10,721165.0
2016-09-11,656228.0
2016-09-12,744222.0
2016-09-13,769883.0
2016-09-14,741057.0
2016-09-15,755597.0
2016-09-16,750096.0
2016-09-17,693404.0
2016-09-18,692388.0
2016-09-19,797484.0
2016-09-20,842201.0
2016-09-21,853670.0
2016-09-22,825395.0
2016-09-23,820543.0
2016-09-24,779928.0
2016-09-25,679856.0
2016-09-26,645613.0
2016-09-27,641598.0
2016-09-28,664650.0
